customer_id,name,email,phone,account_age_days,city,state,risk_tier
CUST000001,Christopher Brown,christopher.brown26@hotmail.com,450-428-3286,1538,Los Angeles,NJ,HIGH
CUST000002,Mark Moore,mark.moore90@outlook.com,232-230-2535,477,Houston,NC,MEDIUM
CUST000003,James Moore,james.moore204@outlook.com,425-659-5557,1687,Columbus,NY,LOW
CUST000004,Daniel Wilson,daniel.wilson349@hotmail.com,359-420-6514,239,Los Angeles,OH,LOW
CUST000005,Barbara Lopez,barbara.lopez619@hotmail.com,244-947-8527,1128,Los Angeles,MA,MEDIUM
CUST000006,John Moore,john.moore301@hotmail.com,791-396-2139,123,Austin,FL,LOW
CUST000007,John Davis,john.davis888@gmail.com,589-484-8428,1331,Columbus,PA,LOW
CUST000008,Barbara Lopez,barbara.lopez215@hotmail.com,918-899-2169,1277,Austin,TX,MEDIUM
CUST000009,Lisa Davis,lisa.davis168@outlook.com,588-476-4598,1432,Philadelphia,AZ,LOW
CUST000010,Linda Johnson,linda.johnson825@hotmail.com,610-474-2084,462,Charlotte,MI,HIGH
CUST000011,David Miller,david.miller672@outlook.com,605-858-8517,322,Phoenix,TX,LOW
CUST000012,Lisa Moore,lisa.moore552@hotmail.com,964-798-8019,1225,San Antonio,PA,LOW
CUST000013,Robert Taylor,robert.taylor506@gmail.com,973-248-2796,343,Austin,TX,HIGH
CUST000014,Susan Martin,susan.martin66@outlook.com,590-810-8668,1113,Phoenix,NC,LOW
CUST000015,Nancy Brown,nancy.brown699@hotmail.com,987-856-6573,258,Phoenix,OH,LOW
CUST000016,Joseph Smith,joseph.smith977@hotmail.com,712-980-3927,1069,Charlotte,CA,HIGH
CUST000017,Elizabeth Taylor,elizabeth.taylor624@yahoo.com,356-582-3646,1134,Fort Worth,MA,MEDIUM
CUST000018,Sandra Smith,sandra.smith614@hotmail.com,700-219-2832,773,Charlotte,AZ,LOW
CUST000019,Linda Johnson,linda.johnson247@gmail.com,287-949-8962,1701,Los Angeles,WA,MEDIUM
CUST000020,Matthew Jones,matthew.jones132@outlook.com,762-369-5342,1110,Columbus,MI,MEDIUM
CUST000021,Michael Moore,michael.moore774@yahoo.com,930-519-7537,1405,Austin,PA,MEDIUM
CUST000022,Mark Taylor,mark.taylor463@gmail.com,453-430-2049,722,New York,MI,MEDIUM
CUST000023,Linda Jackson,linda.jackson226@gmail.com,272-924-1964,498,Los Angeles,MA,LOW
CUST000024,Margaret Hernandez,margaret.hernandez73@yahoo.com,485-885-8953,468,Dallas,TX,HIGH
CUST000025,Sandra Jackson,sandra.jackson591@outlook.com,448-684-7669,419,Los Angeles,CA,HIGH
CUST000026,Susan Lopez,susan.lopez434@outlook.com,678-946-1887,1409,Austin,NJ,LOW
CUST000027,Mary Gonzalez,mary.gonzalez746@hotmail.com,311-454-4139,419,Dallas,GA,LOW
CUST000028,Susan Garcia,susan.garcia286@outlook.com,455-277-8260,1684,Columbus,AZ,MEDIUM
CUST000029,Patricia Johnson,patricia.johnson668@gmail.com,295-971-4872,370,San Antonio,GA,MEDIUM
CUST000030,Michael Gonzalez,michael.gonzalez925@gmail.com,368-588-1035,829,Phoenix,MA,MEDIUM
CUST000031,Elizabeth Wilson,elizabeth.wilson714@outlook.com,358-394-5861,475,New York,MI,HIGH
CUST000032,Sarah Johnson,sarah.johnson766@hotmail.com,258-251-8811,1059,Charlotte,AZ,MEDIUM
CUST000033,Jennifer Johnson,jennifer.johnson984@gmail.com,390-270-2113,1412,Columbus,FL,MEDIUM
CUST000034,Patricia Jackson,patricia.jackson253@gmail.com,834-283-7868,1376,San Jose,MI,MEDIUM
CUST000035,David Rodriguez,david.rodriguez210@hotmail.com,444-471-7484,298,Austin,NJ,LOW
CUST000036,Joseph Hernandez,joseph.hernandez952@gmail.com,209-669-2638,180,Dallas,FL,MEDIUM
CUST000037,William Jones,william.jones956@hotmail.com,270-450-7054,613,Chicago,GA,MEDIUM
CUST000038,Daniel Martinez,daniel.martinez627@gmail.com,883-767-5905,1388,Los Angeles,MA,LOW
CUST000039,William Brown,william.brown912@gmail.com,960-766-3546,587,Phoenix,MI,LOW
CUST000040,Daniel Hernandez,daniel.hernandez209@hotmail.com,717-700-5114,1762,New York,CA,HIGH
