recipient_id,recipient_name,recipient_email,recipient_phone,recipient_account_age_days,recipient_verified
RCPT000001,Susan Garcia,susan.garcia515@gmail.com,830-276-6651,2,True
RCPT000002,Michael Thomas,michael.thomas298@yahoo.com,762-854-9171,502,True
RCPT000003,David Johnson,david.johnson331@yahoo.com,318-814-5747,18,True
RCPT000004,Sandra Smith,sandra.smith259@outlook.com,333-969-7827,55,False
RCPT000005,Margaret Jackson,margaret.jackson438@yahoo.com,809-277-5418,728,False
RCPT000006,Joseph Davis,joseph.davis994@outlook.com,586-216-9726,1539,True
RCPT000007,Charles Brown,charles.brown622@gmail.com,649-969-5883,993,True
RCPT000008,Richard Wilson,richard.wilson374@yahoo.com,828-651-9662,1080,True
RCPT000009,Thomas Anderson,thomas.anderson826@hotmail.com,718-965-6674,1341,True
RCPT000010,Joseph Brown,joseph.brown251@gmail.com,846-826-9769,519,True
RCPT000011,William Martin,william.martin956@outlook.com,266-645-4983,1730,True
RCPT000012,Jennifer Hernandez,jennifer.hernandez491@hotmail.com,688-688-8919,569,True
RCPT000013,Joseph Garcia,joseph.garcia82@yahoo.com,427-719-5491,1056,False
RCPT000014,Joseph Lopez,joseph.lopez393@gmail.com,835-283-9983,1549,False
RCPT000015,David Lopez,david.lopez505@yahoo.com,329-948-4070,1668,True
RCPT000016,Christopher Smith,christopher.smith941@gmail.com,531-803-1201,655,True
RCPT000017,Barbara Brown,barbara.brown449@yahoo.com,588-529-6969,583,True
RCPT000018,David Jackson,david.jackson69@yahoo.com,483-510-4029,595,False
RCPT000019,Robert Thomas,robert.thomas106@yahoo.com,392-824-4838,506,True
RCPT000020,Matthew Wilson,matthew.wilson345@yahoo.com,407-580-4190,1796,True
RCPT000021,Karen Thomas,karen.thomas322@gmail.com,784-605-3562,1032,True
RCPT000022,Lisa Brown,lisa.brown609@outlook.com,200-737-9029,1148,False
RCPT000023,Matthew Hernandez,matthew.hernandez649@outlook.com,716-867-3396,1594,False
RCPT000024,Michael Anderson,michael.anderson873@outlook.com,453-248-8681,934,True
RCPT000025,Charles Taylor,charles.taylor743@yahoo.com,647-594-7748,56,False
RCPT000026,Nancy Jackson,nancy.jackson511@hotmail.com,543-211-1905,1406,True
RCPT000027,William Lopez,william.lopez678@gmail.com,654-921-3301,1231,False
RCPT000028,Jennifer Martin,jennifer.martin917@gmail.com,902-283-1282,905,True
RCPT000029,Daniel Garcia,daniel.garcia707@yahoo.com,614-564-3420,919,True
RCPT000030,Barbara Martinez,barbara.martinez396@yahoo.com,216-540-5985,1374,True
RCPT000031,Lisa Lopez,lisa.lopez436@outlook.com,323-269-8517,906,True
RCPT000032,Michael Jackson,michael.jackson565@outlook.com,368-484-6172,1134,True
RCPT000033,Daniel Jackson,daniel.jackson806@outlook.com,886-235-9290,1375,True
